,idiom,pinyin,explanation
6341,宽大为怀,"['kuan', 'da', 'wei', 'huai']",对人抱着宽大的胸怀。
6342,以夷制夷,"['yi', 'yi', 'zhi', 'yi']",夷外族。利用外族和外国之间的内部矛盾，使其相互冲突，削弱其力量。
6343,置之死地而后快,"['zhi', 'zhi', 'si', 'di', 'er', 'hou', 'kuai']",快痛快∞不得把人弄死才痛快。形容心肠狠毒。
6344,后悔不及,"['hou', 'hui', 'bu', 'ji']",后悔已经来不及了。
6345,晓风残月,"['xiao', 'feng', 'can', 'yue']",拂晓风起，残月将落。常形容冷落凄凉的意境。也指歌妓的清唱。
6346,金口玉言,"['jin', 'kou', 'yu', 'yan']",旧时俗指皇帝说的话。现在指说出口不能改变的话（用在讽刺）。
6347,脉脉含情,"['mo', 'mo', 'han', 'qing']",脉脉两眼凝神，要向别人诉说心曲的样子。饱含温情，默默地用眼神表达自己的感情。形容用眼神或行动默然地表达情意。
6348,知人知面不知心,"['zhi', 'ren', 'zhi', 'mian', 'bu', 'zhi', 'xin']",旧时俗语。指认识一个人容易，但要了解一个人的内心却很困难。
6349,神不守舍,"['shen', 'bu', 'shou', 'she']",神魂离开了身体，比喻丧魂失魄，心神不安定。
6350,戴高帽子,"['dai', 'gao', 'mao', 'zi']",吹捧、恭维别人。
6351,丑态毕露,"['chou', 'tai', 'bi', 'lu']",毕完全。丑恶的形态彻底暴露。
6352,人人得而诛之,"['ren', 'ren', 'de', 'er', 'zhu', 'zhi']",得可以，能够；诛杀死。所有的人都可以杀死他。极言某人罪大恶极。
6353,崛地而起,"['jue', 'di', 'er', 'qi']",崛高起，突起。从平地上突起。形容某种新兴事物出现极为迅速。
6354,少安毋躁,"['shao', 'an', 'wu', 'zao']",少稍微，暂时；安徐缓，不急；毋不要；躁急躁。暂且安心等一会儿，不要急躁。
6355,涕泪交加,"['ti', 'lei', 'jiao', 'jia']",犹涕泪交零。
6356,森严壁垒,"['sen', 'yan', 'bi', 'lei']",原指军事戒备严密。现也用来比喻彼此界限划得很分明。
6357,不足为据,"['bu', 'zu', 'wei', 'ju']",足够得上；据证据。不能作为依据。
6358,坦然自若,"['tan', 'ran', 'zi', 'ruo']",态度安详，一如常态。
6359,酒囊饭袋,"['jiu', 'nang', 'fan', 'dai']",囊口袋。只会吃喝，不会做事。讥讽无能的人。
6360,相反相成,"['xiang', 'fan', 'xiang', 'cheng']",两个看起来是相反的事物，实际上是互相依赖，互相促进的。指相反的东西有同一性。
6361,急如星火,"['ji', 'ru', 'xing', 'huo']",星火流星。象流星的光从空中急闪而过。形容非常急促紧迫。
6362,妇人之仁,"['fu', 'ren', 'zhi', 'ren']",仕仁慈。妇女的软心肠。旧指处事姑息优柔，不识大体。
6363,夜不成寐,"['ye', 'bu', 'cheng', 'mei']",寐睡着。形容因心中有事，晚上怎么也睡不着觉。
6364,一动不如一静,"['yi', 'dong', 'bu', 'ru', 'yi', 'jing']",没有把握或无益的事，还是不做为好。比喻多一事不如少一事。
6365,新来乍到,"['xin', 'lai', 'zha', 'dao']",乍刚才，起初。形容为时不久或刚刚来到一个新地方。
6366,血染沙场,"['xue', 'ran', 'sha', 'chang']",沙场战场。鲜血染红了战场。指在战场上牺牲。
6367,不求闻达,"['bu', 'qiu', 'wen', 'da']",闻有名望；达显达。不追求名誉和地位。
6368,不生不灭,"['bu', 'sheng', 'bu', 'mie']",佛家语，认为佛法无生灭变迁，即常住”之异名。
6369,不蔓不枝,"['bu', 'man', 'bu', 'zhi']",蔓藤蔓，引伸为蔓延。既不蔓延，也不分支。比喻说话或写文章简明扼要，不拖泥带水。
6370,史不绝书,"['shi', 'bu', 'jue', 'shu']",书指记载。史书上不断有记载。过去经常发生这样的事情。
6371,撒豆成兵,"['sa', 'dou', 'cheng', 'bing']",撒放豆子，变成军队。传说中谓散布豆类即能变成军队的一种魔法。旧小说戏曲中所说的一种法术。
6372,峨冠博带,"['e', 'guan', 'bo', 'dai']",峨高；博阔。高帽子和阔衣带。古代士大夫的装束。
6373,饱汉不知饿汉饥,"['bao', 'han', 'bu', 'zhi', 'e', 'han', 'ji']",饱吃足；饥饥饿。比喻处境好的人，不能理解别人的苦衷。
6374,一抔黄土,"['yi', 'pou', 'huang', 'tu']",一抔一捧。一捧黄土。借指坟墓。现多比喻不多的土地或没落、渺小的反动势力。
6375,杀鸡骇猴,"['sha', 'ji', 'hai', 'hou']",传说猴子怕见血，驯猴的人便杀鸡放血来恐吓猴子。比喻用惩罚一个人的办法来警告别的人。
6376,首善之地,"['shou', 'shan', 'zhi', 'di']",最好的地方。指首都。
6377,饱经忧患,"['bao', 'jing', 'you', 'huan']",指经历了许多困苦患难。
6378,脸红耳赤,"['lian', 'hong', 'er', 'chi']",形容感情激动或害羞的样子。亦作脸红耳热”。
6379,法不阿贵,"['fa', 'bu', 'e', 'gui']",法法律；阿偏袒。法律即使是对高贵的人，有权势的人也不徇情。形容执法公正，法律面前人人平等。
6380,期期艾艾,"['qi', 'qi', 'ai', 'ai']",形容口吃的人吐辞重复，说话不流利。
6381,缩衣节食,"['suo', 'yi', 'jie', 'shi']",省吃省穿。泛指生活节俭。
6382,轻装简从,"['qing', 'zhuang', 'jian', 'cong']",行装简便，随从人少。
6383,所费不赀,"['suo', 'fei', 'bu', 'zi']",花费的钱财不计其数。
6384,积毁销骨,"['ji', 'hui', 'xiao', 'gu']",积聚；毁毁谤；销熔化。指不断的毁谤能使人毁灭。
6385,唾面自干,"['tuo', 'mian', 'zi', 'gan']",别人往自己脸上吐唾沫，不擦掉而让它自干。形容受了污辱，极度容忍，不加反抗。
6386,浩浩汤汤,"['hao', 'hao', 'shang', 'shang']",犹浩浩荡荡。指水势壮阔的样子。
6387,真伪莫辨,"['zhen', 'wei', 'mo', 'bian']",莫不。真假分辨不清。
6388,福无双至,"['fu', 'wu', 'shuang', 'zhi']",指幸运的事不会接连到来。
6389,猜拳行令,"['cai', 'quan', 'xing', 'ling']",划拳行酒令。形容宴饮欢畅。猜拳饮酒时两人同时伸出手指并说一数，如数与两人伸出手指的总数相符为胜，输者罚酒。
6390,不无小补,"['bu', 'wu', 'xiao', 'bu']",补补助，补益。多少有一点益处或多少有一点帮助。
6391,勇者不惧,"['yong', 'zhe', 'bu', 'ju']",惧害怕。有胆量的人无所畏惧。
6392,顾头不顾尾,"['gu', 'tou', 'bu', 'gu', 'wei']",形容做事或考虑事不仔细周到。
6393,青灯黄卷,"['qing', 'deng', 'huang', 'juan']",光线青荧的油灯和纸张泛黄的书卷。借指清苦的攻读生活。
6394,人间重晚晴,"['ren', 'jian', 'zhong', 'wan', 'qing']",原指人们珍视晚晴天气，后多用以比喻社会上尊重德高望重的老前辈。
6395,官样文章,"['guan', 'yang', 'wen', 'zhang']",旧时官场中有固定格式和套语的例行公文。比喻光注意形式，没有实际内容的空话，或照例敷衍的虚文滥调。
6396,转忧为喜,"['zhuan', 'you', 'wei', 'xi']",由忧愁转为欢喜。
6397,心焦如焚,"['xin', 'jiao', 'ru', 'fen']",心里焦躁，像着了火一样。形容心情焦灼难忍。
6398,一枕黄粱,"['yi', 'zhen', 'huang', 'liang']",比喻虚幻的梦想。
6399,单丝不成线,"['dan', 'si', 'bu', 'cheng', 'xian']",一根丝绞不成线。比喻个人力量单薄，难把事情办成。
6400,逢山开道,"['feng', 'shan', 'kai', 'dao']",形容不畏艰险，在前开路。常与遇水叠桥”连用。
6401,意在言外,"['yi', 'zai', 'yan', 'wai']",语言的真正用意没有明白说出来，细细体会就知道。
6402,宝马香车,"['bao', 'ma', 'xiang', 'che']",华丽的车子，珍贵的宝马。指考究的车骑。
6403,追根求源,"['zhui', 'gen', 'qiu', 'yuan']",指追溯事物发生的根源。同追本溯源”。
6404,铁嘴钢牙,"['tie', 'zui', 'gang', 'ya']",比喻能言善辩。
6405,借贷无门,"['jie', 'dai', 'wu', 'men']",借贷借钱。没有地方借钱。
6406,放纵不羁,"['fang', 'zong', 'bu', 'ji']",指恣意行事，不受约束。
6407,倏忽之间,"['shu', 'hu', 'zhi', 'jian']",倏忽然，极快地。指极短的时间。
6408,开国元老,"['kai', 'guo', 'yuan', 'lao']",元老政界年辈资望高的人。指建国时资历声望高的人。
6409,命里注定,"['ming', 'li', 'zhu', 'ding']",旧时迷信说法，命运早已决定安排好了。亦作命中注定”。
6410,一笑一颦,"['yi', 'xiao', 'yi', 'pin']",指脸上的表情。同一颦一笑”。
6411,三宫六院,"['san', 'gong', 'liu', 'yuan']",泛指帝王的妃嫔。
6412,士可杀不可辱,"['shi', 'ke', 'sha', 'bu', 'ke', 'ru']",指士子宁可死，也不愿受污辱。
6413,金刚怒目,"['jin', 'gang', 'nu', 'mu']",怒目睁大眼睛，眼珠突出。形容面目威猛可畏。
6414,余味无穷,"['yu', 'wei', 'wu', 'qiong']",形容美妙的诗文、歌曲或可口的食物耐人回味。
6415,文采风流,"['wen', 'cai', 'feng', 'liu']",横溢的才华与潇洒的风度。亦指才华横溢与风度潇洒的人物。
6416,众口相传,"['zhong', 'kou', 'xiang', 'chuan']",众人辗转述说。见众口交传”。
6417,五里雾中,"['wu', 'li', 'wu', 'zhong']",比喻凝恍惚、不明真相的境界。
6418,老羞成怒,"['lao', 'xiu', 'cheng', 'nu']",由于羞愧到了极点，下不了台而发怒。
6419,天不作美,"['tian', 'bu', 'zuo', 'mei']",天不成全美事。多指要进行的事情因刮风下雨而受到了影响。
6420,犯上作乱,"['fan', 'shang', 'zuo', 'luan']",犯干犯。封建统治者指人民的反抗、起义。
6421,知人论世,"['zhi', 'ren', 'lun', 'shi']",原指了解一个人并研究他所处的时代背景。现也指鉴别人物的好坏，议论世事的得失。
6422,数见不鲜,"['shuo', 'jian', 'bu', 'xian']",数屡次；鲜新杀的禽兽，引伸为新鲜。本指对于常来之客，就不宰杀禽兽招待◇指常常见到，并不新奇。
6423,言笑晏晏,"['yan', 'xiao', 'yan', 'yan']",说说笑笑，和柔温顺。
6424,骨肉至亲,"['gu', 'rou', 'zhi', 'qin']",指关系最密切的亲属。
6425,整军经武,"['zheng', 'jun', 'jing', 'wu']",经治理。整顿军队，经营武备。
6426,天清气朗,"['tian', 'qing', 'qi', 'lang']",朗明朗。形容天空晴朗，空气清新。
6427,拒人千里,"['ju', 'ren', 'qian', 'li']",形容对人态度傲慢。
6428,绳锯木断,"['sheng', 'ju', 'mu', 'duan']",用绳当锯子，也能把木头锯断。比喻力量虽小，只要坚持下去，事情就能成功。
6429,打铁趁热,"['da', 'tie', 'chen', 're']",比喻做事要抓紧时机，加速进行。
6430,艰深晦涩,"['jian', 'shen', 'hui', 'se']",艰深文辞深奥难懂；晦涩意义隐晦，不顺口。形容笔调深僻、寓意难以理解的文章。
6431,皇天不负苦心人,"['huang', 'tian', 'bu', 'fu', 'ku', 'xin', 'ren']",天公不会辜负苦心人的意愿。意谓只要肯下苦功，坚持干下去，愿望一定能实现。
6432,恒河沙数,"['heng', 'he', 'sha', 'shu']",恒河南亚的大河。象恒河里的沙粒一样，无法计算。形容数量很多。
6433,旁枝末节,"['pang', 'zhi', 'mo', 'jie']",比喻不重要。
6434,面如死灰,"['mian', 'ru', 'si', 'hui']",死灰冷却的灰烬。形容因心情沮丧或受惊吓而脸色灰白。
6435,不避艰险,"['bu', 'bi', 'jian', 'xian']",不畏惧艰难险阻。
6436,少不经事,"['shao', 'bu', 'jing', 'shi']",少年轻；更经历。年纪轻，没有经历过什么事情。指经验不多。
6437,无隙可乘,"['wu', 'xi', 'ke', 'cheng']",隙空子、机会；乘利用。没有空子可钻。
6438,酒肉朋友,"['jiu', 'rou', 'peng', 'you']",在一起只是吃喝玩乐而不干正经事的朋友。
6439,闭门读书,"['bi', 'men', 'du', 'shu']",关起门来在家里读书。原意是独自学习，而不与别人切磋◇也用以形容专心埋头苦读。
6440,三拳两脚,"['san', 'quan', 'liang', 'jiao']",形容不多几下拳打脚踢。
6441,谆谆善诱,"['zhun', 'zhun', 'shan', 'you']",耐心恳切地教诲、诱导。
6442,以守为攻,"['yi', 'shou', 'wei', 'gong']",用防御作为击破敌人的手段。
6443,狼心狗肺,"['lang', 'xin', 'gou', 'fei']",形容心肠象狼和狗一样凶恶狠毒。
6444,过路财神,"['guo', 'lu', 'cai', 'shen']",比喻暂时经手大量钱财的人。
6445,霞光万道,"['xia', 'guang', 'wan', 'dao']",形容日出日落时霞光散射的美丽景象。也形容某种珍宝放出耀眼的光辉。
6446,驰名天下,"['chi', 'ming', 'tian', 'xia']",驰传扬。形容名声传播得很远。
6447,离合悲欢,"['li', 'he', 'bei', 'huan']",泛指别离、团聚、悲哀、喜悦的种种遭遇和心态。
6448,亦复如是,"['yi', 'fu', 'ru', 'shi']",复又，再。也是这样。
6449,见利思义,"['jian', 'li', 'si', 'yi']",看到货财，要想到道义。
6450,父母之邦,"['fu', 'mu', 'zhi', 'bang']",指祖国。
6451,万里长征,"['wan', 'li', 'chang', 'zheng']",征远行。上万里路的远行。形容极摇远的征程。
6452,血泪斑斑,"['xue', 'lei', 'ban', 'ban']",血与泪俱在实证物。
6453,何足挂齿,"['he', 'zu', 'gua', 'chi']",足值得；挂齿提及，谈及。哪里值得挂在嘴上。不值一提的意思。
6454,稀世之宝,"['xi', 'shi', 'zhi', 'bao']",稀世世所稀有。世上稀有的珍宝。
6455,议论纷纭,"['yi', 'lun', 'fen', 'yun']",形容意见不一，议论很多。
6456,进道若退,"['jin', 'dao', 'ruo', 'tui']",指前进之道反若后退。
6457,迁怒于人,"['qian', 'nu', 'yu', 'ren']",受甲的气向乙发泄或自己不如意时拿别人出气。
6458,豺狼虎豹,"['chai', 'lang', 'hu', 'bao']",泛指桅人畜的各种猛兽。也比喻凶残的恶人。
6459,百废俱兴,"['bai', 'fei', 'ju', 'xing']",俱全，都。许多已经荒废了的事情一下子都兴办起来。
6460,半文半白,"['ban', 'wen', 'ban', 'bai']",文言和白话夹杂。亦作半文不白”。
6461,掎角之势,"['ji', 'jiao', 'zhi', 'shi']",掎拉住，指拉住腿；角指抓住角；掎角夹击敌人。原指从两方面夹攻敌人。现比喻分出兵力，造成牵制敌人或互相支援的形势。
6462,别有天地,"['bie', 'you', 'tian', 'di']",天地境界。比喻另有一番境界。形容风景或艺术创作的境界引人入胜。
6463,惊慌失色,"['jing', 'huang', 'shi', 'se']",惊慌之极而面目变色。
6464,大有可观,"['da', 'you', 'ke', 'guan']",指很值得看，很值得重视。
6465,要而言之,"['yao', 'er', 'yan', 'zhi']",要简要。概括地说，简单地说。
6466,恻隐之心,"['ce', 'yin', 'zhi', 'xin']",恻隐对别人的不幸表示同情。形容对人寄予同情。
6467,栉比鳞次,"['zhi', 'bi', 'lin', 'ci']",像梳子的齿和鱼的鳞，密密地排列着。亦作栉比鳞差”。亦作栉比鳞臻”。
6468,岁月不居,"['sui', 'yue', 'bu', 'ju']",居停留。指时光流逝。
6469,无始无终,"['wu', 'shi', 'wu', 'zhong']",无起始，无终了。表示无丝毫时间限制的状态。
6470,夹枪带棒,"['jia', 'qiang', 'dai', 'bang']",指言语中暗藏讽刺。
6471,曲不离口,"['qu', 'bu', 'li', 'kou']",意指曲子要天天唱，才会熟练精妙。比喻熟能生巧。
6472,旷世奇才,"['kuang', 'shi', 'qi', 'cai']",旷世当代没有能相比的。指当代少见的奇才。
6473,香车宝马,"['xiang', 'che', 'bao', 'ma']",华丽的车子，珍贵的宝马。指考究的车骑。
6474,寓情于景,"['yu', 'qing', 'yu', 'jing']",在景色的描写中寄托情感。
6475,狗屁不通,"['gou', 'pi', 'bu', 'tong']",指责别人说话或文章极不通顺。
6476,桃李遍天下,"['tao', 'li', 'bian', 'tian', 'xia']",比喻学生很多，各地都有。同桃李满天下”。
6477,弃旧图新,"['qi', 'jiu', 'tu', 'xin']",抛弃旧的，谋求新的。多指由坏的转向好的，离开错误的道路走向正确的道路。
6478,不到黄河心不死,"['bu', 'dao', 'huang', 'he', 'xin', 'bu', 'si']",比喻不达目的不罢休。也比喻不到实在无路可走的的境地不肯死心。
6479,深宅大院,"['shen', 'zhai', 'da', 'yuan']",房屋多厕而有围墙的院子。旧时多指富贵人家。
6480,凭空捏造,"['ping', 'kong', 'nie', 'zao']",毫无根据的擅加伪做。
6481,趑趄不前,"['zi', 'ju', 'bu', 'qian']",趑趄迟疑不敢前进。形容犹豫畏缩不敢前进。
6482,四肢百骸,"['si', 'zhi', 'bai', 'hai']",人体的各个部分。泛指全身。
6483,莫可名状,"['mo', 'ke', 'ming', 'zhuang']",名用言语说出；状描绘，形容。不能用言语来形容。指事物极复杂微妙，无法描述。
6484,截长补短,"['jie', 'chang', 'bu', 'duan']",截取长的，补充短的。比喻用长处补短处。
6485,半部论语治天下,"['ban', 'bu', 'lun', 'yu', 'zhi', 'tian', 'xia']",旧时用来强调学习儒家经典的重要。
6486,痛入骨髓,"['tong', 'ru', 'gu', 'sui']",痛到骨头里。比喻痛恨或悲伤之极。
6487,兔死狗烹,"['tu', 'si', 'gou', 'peng']",烹烧煮。兔子死了，猎狗就被人烹食。比喻给统治者效劳的人事成后被抛弃或杀掉。
6488,勿谓言之不预也,"['wu', 'wei', 'yan', 'zhi', 'bu', 'yu', 'ye']",勿谓不要说；预预先。以后不要说没有跟你事先说过。指把话说在前面。
6489,哀兵必胜,"['ai', 'bing', 'bi', 'sheng']",原意是力量相当的两军对阵，悲愤的一方获得胜利◇指因受欺侮而奋起抵抗的军队，必定能取胜。
6490,仰之弥高,"['yang', 'zhi', 'mi', 'gao']",愈仰望愈觉得其崇高。表示极其敬仰之意。
6491,苦海无边,"['ku', 'hai', 'wu', 'bian']",原为佛家语，形容深重无比的苦难。惩回头是岸”连用。
6492,别出新意,"['bie', 'chu', 'xin', 'yi']",指独创一格，与众不同。
6493,知其不可而为之,"['zhi', 'qi', 'bu', 'ke', 'er', 'wei', 'zhi']",明知做不到却偏要去做。表示意志坚决。有时也表示倔强固执。
6494,形销骨立,"['xing', 'xiao', 'gu', 'li']",销消瘦。形容身体非常消瘦。
6495,一日三省,"['yi', 'ri', 'san', 'xing']",每天多次地自我反省。
6496,吉人自有天相,"['ji', 'ren', 'zi', 'you', 'tian', 'xiang']",相帮助，保佑。谓天佑善人。同吉人天相”。
6497,位极人臣,"['wei', 'ji', 'ren', 'chen']",君主时代指大臣中地位最高的人。
6498,荒唐无稽,"['huang', 'tang', 'wu', 'ji']",稽考查。十分荒唐，不可凭信。
6499,雪泥鸿爪,"['xue', 'ni', 'hong', 'zhao']",雪泥融化着雪水的泥土。大雁在雪泥上踏过留下的爪印。比喻往事遗留的痕迹。
6500,存而不论,"['cun', 'er', 'bu', 'lun']",存保留。指把问题保留下来，暂不讨论。
6501,临渴掘井,"['lin', 'ke', 'jue', 'jing']",到口渴才掘井。比喻事先没有准备，临时才想办法。
6502,生死不渝,"['sheng', 'si', 'bu', 'yu']",渝改变。无论活着还是死去都不会改变。形容对理想、信念、友谊、盟约等忠贞不移。
6503,莫测高深,"['mo', 'ce', 'gao', 'shen']",高深的程度无法揣测。指处世的态度、或说话、文章的内容（多不用在正面，带贬义）。
6504,东游西逛,"['dong', 'you', 'xi', 'guang']",无所事事，到处闲诳。同东游西荡”。
6505,酒色财气,"['jiu', 'se', 'cai', 'qi']",旧时以此为人生四戒。泛指各种不良品德、习气。
6506,寻章摘句,"['xun', 'zhang', 'zhai', 'ju']",寻找；章篇章；摘摘录。旧时读书人从书本中搜寻摘抄片断语句，在写作时套用。指写作时堆砌现成词句，缺乏创造性。
6507,开门揖盗,"['kai', 'men', 'yi', 'dao']",揖拱手作礼。开门请强盗进来。比喻引进坏人，招来祸患。
6508,文房四宝,"['wen', 'fang', 'si', 'bao']",俗指笔、墨、纸、砚。
6509,风月无边,"['feng', 'yue', 'wu', 'bian']",极言风景之佳胜。
6510,寝不安席,"['qin', 'bu', 'an', 'xi']",睡觉也不能安于枕席。形容心事重重，睡不着觉。
6511,纷纷攘攘,"['fen', 'fen', 'rang', 'rang']",纷纷众多；攘攘杂乱的样子。众多且杂乱。形容人群杂乱。
6512,再三再四,"['zai', 'san', 'zai', 'si']",重复好几次。
6513,从容自若,"['cong', 'rong', 'zi', 'ruo']",从容不慌不忙，很镇静；自若自在，如常，保持原样。不慌不忙，沉着镇定。
6514,安如泰山,"['an', 'ru', 'tai', 'shan']",形容象泰山一样稳固，不可动摇。
6515,志大才疏,"['zhi', 'da', 'cai', 'shu']",疏粗疏，薄弱。指人志向大而才具不够。
6516,油光可鉴,"['you', 'guang', 'ke', 'jian']",形容非常光亮润泽。
6517,斩关夺隘,"['zhan', 'guan', 'duo', 'ai']",砍断门闩，攻破城门，夺取关隘。形容军队作战勇敢，势不可挡。
6518,一报还一报,"['yi', 'bao', 'huan', 'yi', 'bao']",指做一件坏事后必受一次报复。也指以其人之道还治其人之身。
6519,不见棺材不落泪,"['bu', 'jian', 'guan', 'cai', 'bu', 'luo', 'lei']",比喻不到彻底失败的时候不肯罢休。
6520,若明若暗,"['ruo', 'ming', 'ruo', 'an']",好象明亮，又好象昏暗。比喻对情况的了解或对问题的认识不清楚。
6521,瞒上欺下,"['man', 'shang', 'qi', 'xia']",蒙骗上级，压迫下属和人民。
6522,愧不敢当,"['kui', 'bu', 'gan', 'dang']",感到惭愧，承当不起。
6523,清闲自在,"['qing', 'xian', 'zi', 'zai']",清静空闲，无拘无束。形容生活安闲舒适。
6524,剑及履及,"['jian', 'ji', 'lv', 'ji']",形容行动坚决迅速。同剑及屦及”。
6525,豪放不羁,"['hao', 'fang', 'bu', 'ji']",羁马笼头，引伸为束缚。形容人性情豪迈，不受拘束。
6526,人情世态,"['ren', 'qing', 'shi', 'tai']",人世间的情态。多指人与人之间的交往情分。
6527,冷血动物,"['leng', 'xue', 'dong', 'wu']",体温随环境温度的改变而变化的动物。比喻缺乏感情、对人对事冷漠的人。
6528,囊萤映雪,"['nang', 'ying', 'ying', 'xue']",原是车胤用口袋装萤火虫来照书本，孙康利用雪的反光勤奋苦学的故事◇形容刻苦攻读。
6529,大得人心,"['da', 'de', 'ren', 'xin']",人心即民心。指受百姓热烈拥护。
6530,一口一声,"['yi', 'kou', 'yi', 'sheng']",犹口口声声。
6531,下笔千言,"['xia', 'bi', 'qian', 'yan']",千言长篇大论。形容文思敏捷，写作迅速。
6532,贼头贼脑,"['zei', 'tou', 'zei', 'nao']",形容举动偷偷摸摸，不光明正大。
6533,余音缭绕,"['yu', 'yin', 'liao', 'rao']",优美动听的音乐长久地回荡。形容悦耳的歌声或乐曲使人听了不能一下子忘掉。
6534,一往而深,"['yi', 'wang', 'er', 'shen']",指对人或对事物顷注了很深的感情，向往而不能克制。同一往情深”。
6535,弥天大罪,"['mi', 'tian', 'da', 'zui']",形容极大的罪恶。
6536,风牛马不相及,"['feng', 'niu', 'ma', 'bu', 'xiang', 'ji']",比喻事物彼此毫不相干。同风马牛不相及”。
6537,显露头角,"['xian', 'lu', 'tou', 'jiao']",露显露。头上的角已明显地突出来了。指初显露优异的才能。
6538,沉郁顿挫,"['chen', 'yu', 'dun', 'cuo']",郁低沉郁积。指诗文的风格深沉蕴籍，语势有停顿转折。
6539,千金一诺,"['qian', 'jin', 'yi', 'nuo']",诺许诺。一个诺言价值千金。指守信用，不轻易许诺。
6540,争妍斗艳,"['zheng', 'yan', 'dou', 'yan']",指竞相比美。
6541,大喊大叫,"['da', 'han', 'da', 'jiao']",大声叫嚷，形容大肆宣传，大造舆论。
6542,危急存亡之秋,"['wei', 'ji', 'cun', 'wang', 'zhi', 'qiu']",危险至极的紧急关头。
6543,拉拉杂杂,"['la', 'la', 'za', 'za']",指杂乱无条理。
6544,密不通风,"['mi', 'bu', 'tong', 'feng']",密严密。形容包围紧密或防卫严密，连风也透不进去。
6545,为人作嫁,"['wei', 'ren', 'zuo', 'jia']",原意是说穷苦人家的女儿没有钱置备嫁衣，却每年辛辛苦苦地用金线刺乡，给别人做嫁衣。比喻空为别人辛苦。
6546,风流云散,"['feng', 'liu', 'yun', 'san']",象风和云那样流动散开。比喻在一起的人分散到四面八方。
6547,姑妄言之,"['gu', 'wang', 'yan', 'zhi']",姑且随便说说，不一定有什么道理。
6548,予取予夺,"['yu', 'qu', 'yu', 'duo']",从我处掠取。
6549,滴水成河,"['di', 'shui', 'cheng', 'he']",比喻积少成多。
6550,江天一色,"['jiang', 'tian', 'yi', 'se']",形容江面宽阔，水天相接。
6551,油光水滑,"['you', 'guang', 'shui', 'hua']",①形容光滑润泽。②形容人的圆滑、狡诈。
6552,何其相似乃尔,"['he', 'qi', 'xiang', 'si', 'nai', 'er']",二者多么相象，竟然到了这样的地步。形容十分相象。
6553,万万千千,"['wan', 'wan', 'qian', 'qian']",形容数量极多。
6554,蛇蝎心肠,"['she', 'xie', 'xin', 'chang']",蝎一种蜘蛛类的毒虫。形容心肠狠毒。
6555,日月经天,"['ri', 'yue', 'jing', 'tian']",日月每天都经过天空。比喻光明正大，历久不衰。
6556,临机应变,"['lin', 'ji', 'ying', 'bian']",机时机，形势。随着情况的变化灵活机动地应付。
6557,步人后尘,"['bu', 'ren', 'hou', 'chen']",后尘走路或行车时后面扬起的尘土。指跟在人家后面走。比喻追随模仿，学人家的样子，没有创造性。
6558,索然寡味,"['suo', 'ran', 'gua', 'wei']",寡少，缺少×无意味或毫无兴致的样子。
6559,大发议论,"['da', 'fa', 'yi', 'lun']",发表达，传达。尽情地发表各种意见和评论。
6560,薪尽火传,"['xin', 'jin', 'huo', 'chuan']",薪柴。柴虽烧尽，火种仍留传。比喻师父传业于弟子，一代代地传下去。
6561,异香扑鼻,"['yi', 'xiang', 'pu', 'bi']",不同寻常的香味扑鼻而来。
6562,抚今思昔,"['fu', 'jin', 'si', 'xi']",因眼前事物而引起对往事的追思。同抚今悼昔”。
6563,兵多将广,"['bing', 'duo', 'jiang', 'guang']",兵将众多。形容军队人员多，兵力强大。
6564,老之将至,"['lao', 'zhi', 'jiang', 'zhi']",多用作自称衰老之语。
6565,俯仰无愧,"['fu', 'yang', 'wu', 'kui']",比喻没有做亏心事，并不感到惭愧。
6566,言出法随,"['yan', 'chu', 'fa', 'sui']",言这里指法令或命令；法法律。话一说出口，法律就跟在后面。指法令一经公布就严格执行，如有违犯就依法处理。
6567,巫山云雨,"['wu', 'shan', 'yun', 'yu']",原指古代神话传说巫山神女兴云降雨的事◇称男女欢合。
6568,再造之恩,"['zai', 'zao', 'zhi', 'en']",再造再生。象救了自己性命那样大的恩德。
6569,大中至正,"['da', 'zhong', 'zhi', 'zheng']",极为公正，不偏不倚。
6570,天差地远,"['tian', 'cha', 'di', 'yuan']",比喻两者相差极大。
6571,独往独来,"['du', 'wang', 'du', 'lai']",指行动自由，没有阻碍。又指作文用字独具一格，后指单独往来。
6572,说东道西,"['shuo', 'dong', 'dao', 'xi']",说东家，讲西家。形容没有中心地随意说。
6573,兵无常势,"['bing', 'wu', 'chang', 'shi']",常不变；势形势。用兵无一成不变的形势。用以说明办事要因时、因地制宜，具体问题要用具体办法去解决。
6574,不揣冒昧,"['bu', 'chuai', 'mao', 'mei']",揣估量，考虑。用于没有慎重考虑就轻率行事的客气话。
6575,笔酣墨饱,"['bi', 'han', 'mo', 'bao']",指文章表达流畅，内容充足。
6576,东摇西摆,"['dong', 'yao', 'xi', 'bai']",形容走路不稳。比喻容易动摇、不坚定。
6577,不容置辩,"['bu', 'rong', 'zhi', 'bian']",置安放。不容许别人进行辩解。指没有辩护的余地。
6578,乐而不淫,"['le', 'er', 'bu', 'yin']",快乐而不过分。指表现的情感有节制。
6579,百岁之后,"['bai', 'sui', 'zhi', 'hou']",死的讳称。
6580,誓死不屈,"['shi', 'si', 'bu', 'qu']",立誓宁死也不屈服。
6581,能者为师,"['neng', 'zhe', 'wei', 'shi']",会的人就当老师。即谁会就向谁学习。
