idiom,pinyin,explanation
乱臣贼子,luàn chén zéi zǐ,乱臣叛乱之臣；贼子忤逆之子。旧指不守君臣、父子之道的人◇泛指心怀异志的人。
未为不可,wèi wéi bù kě,不是不可以。委婉地肯定。
千秋万世,qiān qiū wàn shì,①千年万年，形容岁月长久。②婉言帝王之死。
头角峥嵘,tóu jiǎo zhēng róng,头角比喻青年人显露出来的才华；峥嵘特出的样子。形容年轻有为，才华出众。
七步成诗,qī bù chéng shī,称人才思敏捷。
迎神赛会,yíng shén sài huì,旧俗把神像抬出庙来游行，并举行祭会，以求消灾赐福。
丝竹管弦,sī zhú guǎn xián,丝指弦乐器；竹指管乐器。琴瑟箫笛等乐器的总称。也指音乐。
怀璧其罪,huái bì qí zuì,怀怀藏。身藏璧玉，因此获罪。原指财能致祸◇也比喻有才能而遭受忌妒和迫害。
天理昭昭,tiān lǐ zhāo zhāo,昭昭明显。旧称天能主持公道，善恶报应分明。
纡尊降贵,yū zūn jiàng guì,纡屈抑。指地位高的人降低身分俯就。
不徐不疾,bù xú bù jí,徐慢。疾快。不快不慢，从容自然。
羽毛丰满,yǔ máo fēng mǎn,小鸟的羽毛已经长全。比喻已经成熟或实力已强大。
黄口小儿,huáng kǒu xiǎo ér,黄口儿童；小儿小孩子。常用以讥讽别人年幼无知。
临深履薄,lín shēn lǚ bó,深深渊；履踩踏；薄薄冰。面临深渊，脚踩薄冰。比喻小心谨慎，惟恐有失。
急急如律令,jí jí rú lǜ lìng,本是汉代公文用语，后来道士或巫师亦用于符咒的末尾。如同法律命令，必须立即遵照执行。
水碧山青,shuǐ bì shān qīng,碧青绿色。形容景色很美，艳丽如画。亦作水绿山青”。
易地而处,yì dì ér chǔ,换一换所处的地位。比喻为对方想一想。
残渣余孽,cán zhā yú niè,比喻在消灭或淘汰过程中残存下来的坏人。孽，邪恶的东西。
留恋不舍,liú liàn bù shě,依恋着不愿去。形容依依惜别的情貌。
开科取士,kāi kē qǔ shì,科科举考试。指旧举行科举考试以选取优异的士人。
漫无止境,màn wú zhǐ jìng,指永远不会停止或没有边际。
意义深长,yì yì shēn cháng,意思含畜深远，耐人寻味。同意味深长”。
臧否人物,zāng pǐ rén wù,臧否褒贬。评论人物好坏。
仓皇失措,cāng huáng shī cuò,仓皇匆忙，慌张。匆忙慌张，不知所措。
牛之一毛,niú zhī yī máo,牛身上一根毛。比喻微不足道。亦作九牛一毛”。
履险如夷,lǚ xiǎn rú yí,履踩踏；夷平坦。走在危险的地方就象走在平地一样。比喻平安地渡过困境。
食言而肥,shí yán ér féi,食言失信。指不守信用，只图自己占便宜。
成千成万,chéng qiān chéng wàn,形容数量极多。
历历可见,lì lì kě jiàn,历历分明、清楚。看得清清楚楚。
求神问卜,qiú shén wèn bǔ,迷信的人遇有疑难，求神鬼帮助，或靠卜卦解决。
操纵自如,cāo zòng zì rú,掌握运用或驾驭得心应手，毫无阻碍。
老王卖瓜,lǎo wáng mài guā,比喻自己称赞自己的货色好或本领高强。
殚精竭力,dān jīng jié lì,犹殚精毕力。尽心竭力。
不知所言,bù zhī suǒ yán,形容说话内容混乱，无法理解。同不知所云”。
反哺之情,fǎn bǔ zhī qíng,比喻子女长大奉养父母，报答恩情。
三朋四友,sān péng sì yǒu,泛指各种朋友。
塞北江南,sāi běi jiāng nán,原指古凉州治内贺兰山一带◇泛指塞外富庶之地。
目迷五色,mù mí wǔ sè,五色各种颜色。形容颜色既多又杂，因而看不清。比喻事物措综复杂，不易分辨清楚。
有案可稽,yǒu àn kě jī,案案卷，文书；稽查考。指有证据可查。
挖肉补疮,wā ròu bǔ chuāng,比喻只顾眼前，用有害的方法来救急。
切磋琢磨,qiē cuō zhuó mó,将骨、角、玉、石加工制成器物。比喻学习或研究问题时彼此商讨，互相吸取长处，改正缺点。
出师有名,chū shī yǒu míng,有正当理由进行征伐。
饕餮之徒,tāo tiè zhī tú,比喻贪吃的人。
年高德劭,nián gāo dé shào,劭美好。年纪大，品德好。
江汉朝宗,jiāng hàn cháo zōng,江汉指长江和汉水；朝宗诸侯朝见天子，借喻百川入海。指江河奔流入海。也比喻魇、大势所趋，人心所向。
逐句逐字,zhú jù zhú zì,挨次序一字一句地。
观者云集,guān zhě yún jí,观看的人如行云那样密集。形容观看的人多。
一隅之地,yī yú zhī dì,隅角落。形容地域狭小。
观者如堵,guān zhě rú dǔ,堵墙壁。观看的人象一堵墙一样。形容观看人数众多。
五马分尸,wǔ mǎ fēn shī,古代的一种酷刑，用五匹马分裂人的头和四肢，又称四裂”。比喻硬把完整的东西分割得非常零碎。
旦夕之间,dàn xī zhī jiān,旦早晨。夕晚上。早晚之间，形容在很短时间内。
欺人之谈,qī rén zhī tán,骗人的鬼话。
进身之阶,jìn shēn zhī jiē,进身上升；阶台阶。使身体能够上升的阶梯。旧指借以提拔升迁的门路。
五短身材,wǔ duǎn shēn cái,指人的身材矮小。
扬清抑浊,yáng qīng yì zhuó,犹扬清激浊。比喻抨击、清除坏人坏事，表彰、发扬好人好事。
汉贼不两立,hàn zéi bù liǎng lì,比喻有我无你。
刀光血影,dāo guāng xuè yǐng,形容血腥的杀戮。
以管窥豹,yǐ guǎn kuī bào,用竹管看豹，只能见其身上的一斑。比喻目光狭隘，见识短浅。
荒淫无道,huāng yín wú dào,荒淫淫乱无度，贪恋酒色。无道不讲或不行道义。多指君主生活糜烂，重用奸佞，残害忠良，奴役百姓。
瓮声瓮气,wèng shēng wèng qì,形容声音粗大低沉。
擒贼擒王,qín zéi qín wáng,擒抓，捉。指作战要先抓主要敌手。比喻作事要抓住要害。
不可言状,bù kě yán zhuàng,言说；状描绘。无法用言语形容。
亢龙有悔,kàng lóng yǒu huǐ,亢至高的；悔灾祸。意为居高位的人要戒骄，否则会失败而后悔◇也形容倨傲者不免招祸。
怨天怨地,yuàn tiān yuàn dì,抱怨天又抱怨地。形容埋怨不休。
自由泛滥,zì yóu fàn làn,指某种错误的思想言行没有约束，到处扩散。
无功受禄,wú gōng shòu lù,禄旧时官吏的薪俸。没有功劳而得到报酬。
强将手下无弱兵,qiáng jiàng shǒu xià wú ruò bīng,英勇的将领部下没有软弱无能的士兵。比喻好的领导能带出一支好的队伍。
放浪不羁,fàng làng bù jī,羁约束。放纵任性，不加检点，不受约束。
鹅毛大雪,é máo dà xuě,像鹅毛一样的雪花。形容雪下得大而猛。
毫无逊色,háo wú xùn sè,表示比得上，丝毫不差。
风行水上,fēng xíng shuǐ shàng,比喻自然流畅，不矫揉造作。
高头讲章,gāo tóu jiǎng zhāng,经书正文上端留有较宽空白，刊印讲解文字，这些文字称为高头讲章”◇来泛指这类格式的经书。
一言中的,yī yán zhōng dì,的箭靶的中心。一句话正好射中箭靶。比喻一句话就说到关键的地方。
出于意外,chū yú yì wài,指出乎人的意料之外。
失败为成功之母,shī bài wéi chéng gōng zhī m,失败往往是成功的先导。指从失败中吸取教训，最后取得胜利。
贫贱不移,pín jiàn bù yí,移改变。不因生活贫困、社会地位低下而改变自己的志向。形容意志坚定。
慨当以慷,kǎi dāng yǐ kāng,与慷慨”意思相同，指充满正气，情绪激动。当以”无实际意义。
础润而雨,chǔ rùn ér yǔ,柱子的基石润湿了，就是要下雨的征候。比喻见到一点迹象，就能知道它的发展方向。
名士风流,míng shì fēng liú,名士指恃才放达不拘小节的人。名士的风度和习气。指有才学而不拘礼法。
抑郁寡欢,yì yù guǎ huān,由于心情不舒畅而很少高兴的时候。
听其自然,tīng qí zì rán,听任凭。听任它自然发展，不去过问。
肤如凝脂,fū rú níng zhī,皮肤像凝固的油脂。形容皮肤洁白且细嫩。
黄钟毁弃,huáng zhōng huǐ qì,黄钟黄铜铸的钟，我国古代音乐有十二律，阴阳各六，黄钟为阳六律的第一律；毁毁坏；弃抛弃。比喻贤人遭受摈斥。
杳无人迹,yǎo wú rén jì,杳不见踪影；迹脚印。连一个人的脚印也看不到。形容地方非常荒凉、偏僻，从来没有人去过。
百折不屈,bǎi zhé bù qū,受到无数挫折都不屈服、动摇。形容意志坚强。
千峰万壑,qiān fēng wàn hè,犹千岩万壑。形容山峦连绵，高低重迭。
忧谗畏讥,yōu chán wèi jī,担忧被谗言中伤。
见风转舵,jiàn fēng zhuǎn duò,看风向转发动舵柄。比喻看势头或看别人的眼色行事。
免开尊口,miǎn kāi zūn kǒu,免不要。不必开口说什么。多表示要求不会得到同意。
河海不择细流,hé hǎi bù zé xì liú,比喻不论大小，一律收容。
夫贵妻荣,fū guì qī róng,指丈夫尊贵，妻子也随之光荣。见夫荣妻贵”。
存亡续绝,cún wáng xù jué,存保存；续接续。恢复灭亡的国家，延续断绝了的贵族世家。
一瓣心香,yī bàn xīn xiāng,心香旧时称中心虔诚，就能感通佛道，同焚香一样。比喻十分真诚的心意（用在祝愿）。
恭敬不如从命,gōng jìng bù rú cóng mìng,客套话。多用在对方对自己客气，虽不敢当，但不好违命。
踌躇不决,chóu chú bù jué,踌躇犹豫，迟疑。形容犹犹疑疑地拿不定主意。
百折千回,bǎi zhé qiān huí,形容经过种种曲折和纡回。
乘隙而入,chéng xì ér rù,趁着虚弱疏漏的地方进入。
面无人色,miàn wú rén sè,脸色没有一点血色。形容恐惧到极点或非常虚弱。
青山不老,qīng shān bù lǎo,比喻永存。也比喻时间久长。
黑白混淆,hēi bái hùn xiáo,把黑的说成白的，将白的说成黑的。比喻故意颠倒是非，制造混乱。
富贵逼人,fù guì bī rén,无心富贵，被迫出仕。也指因有财势，人来靠拢。
口含天宪,kǒu hán tiān xiàn,天宪指朝廷法令。比喻说话就是法律，可以决定人的生死。
李广难封,lǐ guǎng nán fēng,以之慨叹功高不爵，命运乖舛。同李广未封”。
博学多闻,bó xué duō wén,博学广博。学识广博，见闻丰富。
知足不辱,zhī zú bù rǔ,知道满足就不会受到羞辱。表示不要有贪心。
鬼头鬼脑,guǐ tóu guǐ nǎo,鬼形容人阴险狡诈。形容行为举止诡秘，不光明正大。
有志不在年高,yǒu zhì bù zài nián gāo,指年轻人只要有志向，成就不可限量，不在年纪大。也指只要有志向，岁数大了，也可以干出一番事业。
初生之犊,chū shēng zhī dú,刚出生的小牛，比喻单纯或勇猛的青年人。
仰不愧天,yǎng bù kuì tiān,抬头仰望，对天无愧。指没有做过坏事，问心无愧。
吴头楚尾,wú tóu chǔ wěi,今江西北部，春秋时是吴、楚两国交界的地方，它处于吴地长江的上游，楚地长江的下游，好象首尾互相衔接。
半壁河山,bàn bì hé shān,指国土的一部或大部分。
不差毫厘,bù chā háo lí,不差一毫一厘。
犀牛望月,xī niú wàng yuè,比喻见到的不全面。
杯中之物,bēi zhōng zhī wù,杯子中的东西，指酒。同杯中物”。
杳无消息,yǎo wú xiāo xī,杳无影无踪。没有一点儿音信。
宠辱皆忘,chǒng rǔ jiē wàng,受宠或受辱都毫不计较。常指一种通达的超绝尘世的态度。
含血喷人,hán xuè pēn rén,比喻捏造事实陷害别人。
牛头马面,niú tóu mǎ miàn,迷信传说中的两个鬼卒，一个头象牛，一个头象马。比喻各种丑恶的人。
马前泼水,mǎ qián pō shuǐ,比喻夫妻离异，无法挽回。
诚心正意,chéng xīn zhèng yì,诚真诚。心意真诚恳切。形容对人十分真挚诚恳。亦作诚心诚意”。
沦落风尘,lún luò fēng chén,沦落流落，指陷入坏的境地。风尘旧指娼妓的生活。旧指妇女不幸沦为娼妓。
才德兼备,cái dé jiān bèi,才才能。德品德。备具备。才能和品德都具备。
田连阡陌,tián lián qiān mò,阡陌田间小路。形容田地方袤，接连不断。
天理人情,tiān lǐ rén qíng,天然的道理和人的常情。
百弊丛生,bǎi bì cóng shēng,百形容多；弊弊端，害处。各种弊害都产生出来了。
可乘之隙,kě chéng zhī xì,隙空子，机会。可以被对方利用的弱点、空隙。
万贯家财,wàn guàn jiā cái,形容家产极丰。
恩威并重,ēn wēi bìng zhòng,安抚和强制同时施行。
玉液琼浆,yù yè qióng jiāng,琼美玉。用美玉制成的浆液，古代传说饮了它可以成仙。比喻美酒或甘美的浆汁。
迟疑观望,chí yí guān wàng,指犹豫等待，不作决定。
夙夜匪懈,sù yè fěi xiè,夙夜早晚，朝夕；匪不；懈懈怠。形容日夜谨慎工作，勤奋不懈。
画栋雕梁,huà dòng diāo liáng,指有彩绘装饰的十分华丽的房屋。
寂然无声,jì rán wú shēng,寂静没有声音。
笨嘴拙舌,bèn zuǐ zhuō shé,拙不巧。形容没有口才，不善言辞。
一箭之地,yī jiàn zhī dì,相当于一箭射程的距离。比喻相距不远。
欲扬先抑,yù yáng xiān yì,要发扬、放开，先控制、压抑。
吉日良辰,jí rì liáng chén,吉吉利；良好；辰时日。美好的时辰，吉利的日子◇常用以称宜于成亲的日子。
朗朗乾坤,lǎng lǎng qián kūn,朗朗明朗、清亮；乾坤原是《周易》中的两个卦名，这里指天地、世界等。形容政治清明，天下太平。
肉眼凡胎,ròu yǎn fán tāi,肉眼佛经中说有，天、肉慧、法佛五眼，肉眼为肉身之眼，也泛指俗眼；凡胎指凡人的身体。指尘世平常的人。
求过于供,qiú guò yú gòng,需求多而供应量少。
青灯古佛,qīng dēng gǔ fó,青荧的油灯和年代久远的佛像。借指佛门寂寞的生涯。
铜壶滴漏,tóng hú dī lòu,铜壶古代计时的漏器。用铜壶盛水滴漏来计时刻。
泥古不化,nì gǔ bù huà,泥拘泥，固执。拘泥于古代的成规或古人的说法而不知变通。
慷慨激扬,kāng kǎi jī yáng,激扬振奋昂扬。精神振奋，意气昂扬。形容情绪、语调激动昂扬而充满正气。
装潢门面,zhuāng huáng mén miàn,装潢原指裱糊字画，现也指装饰物品使之美观；门面指外观。比喻只把外表装饰得很漂亮。
薄技在身,bó jì zài shēn,薄微小。指自己掌握了微小的技能。
目不忍视,mù bù rěn shì,眼睛不忍看视。形容景象极其悲惨。
不关痛痒,bù guān tòng yǎng,痛痒比喻疾苦或紧要的事。比喻切身相关的事。指与自身利害没有关系。
罚不当罪,fá bù dāng zuì,当相当，抵挡。处吠罪行不相当。
谈天论地,tán tiān lùn dì,谈论天文地理。形容博学多识。
名实相副,míng shí xiāng fù,名声和实际一致。
不差上下,bù chā shàng xià,不分高下，差不多。
强中更有强中手,qiáng zhōng gèng yǒu qiáng zhōng shǒu,比喻技艺无止境，不能自满自大。
关心民瘼,guān xīn mín mò,瘼疾，疾苦。关心群众的疾苦。
睥睨一切,pì nì yī qiè,形容非常高傲，看不起任何人。
母以子贵,mǔ yǐ zǐ guì,母亲因儿子的显贵而显贵。
经纬万端,jīng wěi wàn duān,比喻头绪极多。
惩一儆百,chéng yī jǐng bǎi,惩惩罚；警警戒。处死一个人，借以警戒许多人。
三月不知肉味,sān yuè bù zhī ròu wèi,三个月之内吃肉不觉得有味道。比喻集中注意力于某一事物而忘记了其它事情。也借用来形容几个月不吃肉。
梦笔生花,mèng bǐ shēng huā,比喻写作能力大有进步。也形容文章写得很出色。
草率从事,cǎo shuài cóng shì,草率粗枝大叶，敷衍了事。马马虎虎就处理了。形容办事不认真。
酒绿灯红,jiǔ lǜ dēng hóng,灯光酒色，红绿相映，令人目眩神迷。形容奢侈糜烂的生活。
月圆花好,yuè yuán huā hǎo,花儿正盛开，月亮正圆满。比喻美好圆满。多用于棕人新婚。
知遇之恩,zhī yù zhī ēn,给予赏识和重用的恩情。
略窥一斑,lüè kuī yī bān,比喻大致看到一些情况，但不够全面。同略见一斑”。
奇花异卉,qí huā yì huì,卉草的总称。原意是指希奇少见的花草。也比喻美妙的文章作品等。
好骑者堕,hào qí zhě duò,惯于骑马的人常常会从马上摔下来。比喻善长某一技艺的人，往往因大意而招致失败。
左右两难,zuǒ yòu liǎng nán,两面为难，不容易决定。
人心叵测,rén xīn pǒ cè,叵不可。人的心地不可探测。形容人心险恶。
三心两意,sān xīn liǎng yì,常指不安心，不专一。同三心二意”。
九死不悔,jiǔ sǐ bù huǐ,九表示极多。纵然死很多回也不后悔。形容意志坚定，不认经历多少危险，也决不动摇退缩。
飞珠溅玉,fēi zhū jiàn yù,形容水的飞溅犹如珠玉一般。
出乖露丑,chū guāi lù chǒu,乖荒谬的；丑可耻的。指在人前出丑。
天王老子,tiān wáng lǎo zǐ,比喻至尊至贵、最有权威的人。
大度包容,dà dù bāo róng,度度量；包容纳。形容气量大，能宽容人。
翩翩公子,piān piān gōng zǐ,旧时对风流而有文采的富贵子弟的誉称。
心神恍惚,xīn shén huǎng hū,恍惚神志不清，精神不集中。形容精神不集中或神志不清楚。
人多口杂,rén duō kǒu zá,指谈论的人多，各种议论都有。
庐山真面,lú shān zhēn miàn,庐山山名，在江西省九江市南。比喻事物的真相或本来面目。
鼻孔朝天,bí kǒng cháo tiān,仰起头来鼻孔朝天。形容高傲自大。
一悲一喜,yī bēi yī xǐ,既悲伤又高兴。
避难就易,bì nán jiù yì,就凑近，靠近。躲开难的，去找容易的做。也指做事情先从容易的做起。
活龙活现,huó lóng huó xiàn,形容神情逼真，使人感到好象亲眼看到一般。
晕晕沉沉,yūn yūn chén chén,形容眩晕而神志不清。
解民倒悬,jiě mín dào xuán,解解救；倒悬人被倒挂，比喻处境困难、危急。比喻把受苦难的人民解救出来。
不知肉味,bù zhī ròu wèi,原指被美妙的音乐所陶醉，因而辨不出肉味◇形容专心学习，吃东西辨不出味道。也形容生活困难，无肉可吃。
报仇雪耻,bào chóu xuě chǐ,指报复冤仇，洗刷耻辱。
鸟尽弓藏,niǎo jìn gōng cáng,鸟没有了，弓也就藏起来不用了。比喻事情成功之后，把曾经出过力的人一脚踢开。
小惩大诫,xiǎo chéng dà jiè,惩惩罚；诫警告，劝告。有小过失就惩戒，使受到教训而不致犯大错误。
饱以老拳,bǎo yǐ lǎo quán,饱充分；以用。痛打，尽情地揍。
权倾天下,quán qīng tiān xià,权势压倒天下。形容权势极大。
未竟之志,wèi jìng zhī zhì,没有完成的志向。
手脚干净,shǒu jiǎo gàn jìng,比喻廉洁奉公。
不改其乐,bù gǎi qí lè,不改变自有的快乐。指处于困苦的境况仍然很快乐。
大肆铺张,dà sì pū zhāng,为了形式上的好看，不顾一切地过分讲究排场。
刻画入微,kè huà rù wēi,微细小。精心细致地描摹，连极小之处也不大意。形容认真细致，一丝不苟。
东扯西拉,dōng chě xī lā,形容说话离题，没有中心。
曲意迎合,qǔ yì yíng hé,想方设法奉承讨好别人。同曲意逢迎”。
三寸之舌,sān cùn zhī shé,比喻能说会辩的口才。
铁马金戈,tiě mǎ jīn gē,①形容威武雄壮的士兵和战马。②谓战事，兵事。
洒扫应对,sǎ sào yìng duì,洒水扫地，酬答宾客。封建时代儒家教育、学习的基本内容之一。
图穷匕首见,tú qióng bǐ shǒu xiàn,图地图；穷尽；见现。比喻事情发展到最后，真相或本意显露了出来。
冯唐易老,féng táng yì lǎo,汉朝冯唐身历三朝，到武帝时，举为贤良，但年事已高不能为官。感慨生不逢时或表示年寿老迈。
不知老之将至,bù zhī lǎo zhī jiāng zhì,不知道老年即将来临。形容人专心工作，心怀愉快，忘掉自己的衰老。
肉食者鄙,ròu shí zhě bǐ,肉食者吃肉的人，引伸为有权位的人；鄙鄙陋。旧时指身居高位、俸禄丰厚的人眼光短浅。
识途老马,shí tú lǎo mǎ,老马认识路。比喻对某种事物十分熟悉的人。
天堂地狱,tiān táng dì yù,原为佛家语。指善人死后升入天堂，恶人死后堕入地狱。佛家用以劝善惩恶◇常用以比喻幸竿凄苦两种截然相反的生活境遇。
仆仆风尘,pú pú fēng chén,仆仆行路劳累的样子；风尘指行旅，含有辛苦之意。形容奔波忙碌，旅途劳累。
漫天叫价,màn tiān jiào jià,犹漫天要价。形容所提出的条件、要求过高。
铁画银钩,tiě huà yín gōu,画笔画；钩钩勒。形容书法刚键柔美。
啼饥号寒,tí jī háo hán,啼哭；号叫。因为饥饿寒冷而哭叫。形容挨饿受冻的悲惨生活。
涕泗横流,tì sì héng liú,眼泪鼻涕满脸乱淌。形容极度悲伤。
饶有风趣,ráo yǒu fēng qù,很有风趣。
不能登大雅之堂,bù néng dēng dà yǎ zhī táng,形容不够文雅。
日暮途穷,rì mù tú qióng,暮傍晚；途路。天已晚了，路已走到了尽头。比喻处境十分困难，到了末日。也形容穷困到极点。
负重致远,fù zhòng zhì yuǎn,负背着；致送到。背着重东西走远路。比喻能够负担艰巨任务。
徒托空言,tú tuō kōng yán,白把希望寄托于空话。指只讲空话，而不实行。
月白风清,yuè bái fēng qīng,形容幽静美好的夜晚。
付诸一笑,fù zhū yī xiào,用一笑来对待或回答。比喻不值得理会。同付之一笑”。
十八般武艺,shí bā bān wǔ yì,①使用十八般兵器的本领。亦泛指多种武艺。②比喻多种技能。
声气相通,shēng qì xiāng tōng,彼此串通，互通消息。
听其言而观其行,tīng qí yán ér guān qí xíng,听了他的话，还要看他的行动。指不要只听言论，还要看实际行动。
追风逐日,zhuī fēng zhú rì,形容速度极快。多指马飞速奔驰。同追风逐电”。
教导有方,jiào dǎo yǒu fāng,教育引导很有办法。
苟且偷安,gǒu qiě tōu ān,苟且得过且过；偷安只图眼前的安逸。只顾眼前的安逸，不顾将来。
相忍为国,xiāng rěn wèi guó,为了国家的利益而作一定的让步。
枭首示众,xiāo shǒu shì zhòng,斩首悬示于众。
久闻大名,jiǔ wén dà míng,闻听到。早就听到对方的盛名。多用作初见面时的客套话。
国富民安,guó fù mín ān,国家富强，人民安定。
骇浪惊涛,hài làng jīng tāo,骇使惊怕；涛大波浪。汹涌吓人的浪涛。比喻险恶的环境或尖锐激烈的斗争。
月晕而风,yuè yùn ér fēng,月晕月亮周围出现的光环。月亮出现光环，就是要刮风的征候。比喻见到一点迹象就能知道它的发展趋向。
吟风弄月,yín fēng nòng yuè,旧指文人写作或朗诵以风月等自然景色为题材的作品。现多形容作品空虚无聊。
雪里送炭,xuě lǐ sòng tàn,比喻在别人急需时给以物质上或精神上的帮助。同雪中送炭”。
如之奈何,rú zhī nai hé,怎么办。
茫然若失,máng rán ruò shī,茫然失意的样子；若失好像失去了东西。形容精神不集中，恍惚，若有所失的样子。
翩翩风度,piān piān fēng dù,翩翩形容举止潇洒超脱。风度美好的举止姿态。形容人的举止言谈超逸洒脱。
半生半熟,bàn shēng bàn shú,没有完全成熟或未烹煮至可食用的程度。比喻不熟悉；不熟练。
五劳七伤,wǔ láo qī shāng,泛指各种疾病和致病因素。
言有尽而意无穷,yán yǒu jìn ér yì wú qióng,指诗文含义深刻，令人品味不尽。
杯觥交错,bēi gōng jiāo cuò,比喻相聚饮酒时的欢乐。觥，酒器。
天不假年,tiān bù jiǎ nián,假给予。天公不给以寿命。指寿命不长。
整旧如新,zhěng jiù rú xīn,修整陈旧的、破损的东西，使之如同新的一样。
东藏西躲,dōng cáng xī duǒ,形容为了逃避灾祸而到处躲藏。
开合自如,kāi hé zì rú,合按照，适合；自如不受阻碍和拘束。打开闭合不受拘束，形容按照自己的意愿办事。
风刀霜剑,fēng dāo shuāng jiàn,寒风象刀，严霜象剑。形容气候寒冷，刺人肌肤。也比喻恶劣的环境。
胶柱鼓瑟,jiāo zhù gǔ sè,用胶把柱粘住以后奏琴，柱不能移动，就无法调弦。比喻固执拘泥，不知变通。
龙精虎猛,lóng jīng hǔ měng,比喻精力旺盛，斗志昂扬。
性命交关,xìng mìng jiāo guān,交关相关。形容关系重大，非常紧要。
半饥半饱,bàn jī bàn bǎo,指不求甚饱或吃不饱饭。
不可胜计,bù kě shèng jì,胜尽；计计算。不能全部计算完。形容数量极多。
泰山不让土壤,tài shān bù ràng tǔ rǎng,泰山不排除细小的土石，所以能那么高。比喻人度量大，能包容不同的事物。
大地春回,dà dì chūn huí,指冬去春来，草木萌生，大地上出现一片生机景象。有时亦用比喻形势好转。
民膏民脂,mín gāo mín zhī,脂、膏脂肪。比喻人民用血汗换来的财富。多用于指反动统治阶级压榨人民来养肥自己的场合。
脸红耳热,liǎn hóng ěr rè,形容感情激动或害羞的样子。同脸红耳赤”。
鬼话连篇,guǐ huà lián piān,鬼话不真实的话。连篇一篇接一篇。满口说的全是蒙骗人的胡言乱语。
惟精惟一,wéi jīng wéi yī,指精纯专一。
恍如梦境,huǎng rú mèng jìng,好象是在梦里一样。
迁客骚人,qiān kè sāo rén,迁客被贬谪到外地的官吏；骚人诗人。贬黜流放的官吏，多愁善感的诗人。泛指忧愁失意的文人。
人欢马叫,rén huān mǎ jiào,人在呼喊，马在嘶鸣。形容一片喧闹声。
威震天下,wēi zhèn tiān xià,威名传于全国，震惊世上。
吐气扬眉,tǔ qì yáng méi,形容受压抑的心情得以舒展而感到快意。
卑鄙龌龊,bēi bǐ wò chuò,形容品质恶劣，导心不正，言行肮脏。
心急如火,xīn jí rú huǒ,心里急得象着了火一样。形容非常着急。
鼻青眼肿,bí qīng yǎn zhǒng,鼻子发青，眼睛肿起。形容脸部伤势严重。亦比喻遭受严重打击、挫折的狼狈相。
一丘一壑,yī qiū yī hè,丘土山；壑山沟。原指隐者所居之地◇多用以指寄情山水。
老僧入定,lǎo sēng rù dìng,和尚静坐，使心定于一处，不起杂念，叫入定。形容人静静地端坐着。
官官相卫,guān guān xiāng wèi,指官员之间互相包庇。同官官相护”。
勇冠三军,yǒng guàn sān jūn,冠位居第一；三军军队的统称。指勇敢或勇猛是全军第一。
信赏必罚,xìn shǎng bì fá,信真实不欺。有功劳的一定奖赏，有罪过的一定惩罚。形容赏罚严明。
憎爱分明,zēng ài fēn míng,憎恨∞什么，爱什么，界限清楚，态度鲜明。
一言兴邦,yī yán xīng bāng,指一句话可以兴国。
桂子飘香,guì zǐ piāo xiāng,指中秋前后桂花开放，散发馨香。
以勤补拙,yǐ qín bǔ zhuō,用勤奋补救笨拙，含有自谦之意。
跑了和尚跑不了庙,pǎo le hé shàng pǎo bù le miào,指纵然一时躲掉，但由于其他无法摆脱的牵累，最后还是无法脱身。
强中自有强中手,qiáng zhōng zì yǒu qiáng zhōng shǒu,比喻技艺无止境，不能自满自大。同强中更有强中手”。
离情别绪,lí qíng bié xù,分离前后惜别、相思的愁苦情绪。
市井无赖,shì jǐng wú lài,指城市中游手好闲、品行不端的人。
悠悠荡荡,yōu yōu dàng dàng,形容摇摇晃晃，飘浮不定。现多形容不勤奋。
量才录用,liàng cái lù yòng,量估量。根据才能大小分配一定工作。
不露锋芒,bù lù fēng máng,锋芒比喻锐气或才干。不显露出锐气或才干。多指有意地将自己的才能、抱负等加以掩饰。
宦海浮沉,huàn hǎi fú chén,指官场生涯曲折复杂，变化不定。
清新俊逸,qīng xīn jùn yì,清美新颖，不落俗套。
英姿焕发,yīng zī huàn fā,英姿英勇威武姿态；焕发光彩四射。形容英俊威武的样子。
话里带刺,huà lǐ dài cì,指话中包含着讥笑和讽刺。同话中带刺”。
有隙可乘,yǒu xì kě chèng,指事情有漏洞可以利用。
风清月朗,fēng qīng yuè lǎng,风凉爽，月明亮。
月满则亏,yuè mǎn zé kuī,月圆则缺。比喻事物发展到极点则开始衰退。
百万雄兵,bǎi wàn xióng bīng,人数众多、威武雄壮的军队。同百万雄师”。
举措失当,jǔ cuò shī dàng,举措举动，措置。指行动措施不得当。
民不畏死,mín bù wèi sǐ,畏惧怕。人民不怕死。形容不怕死的气慨。
残汤剩饭,cán tāng shèng fàn,指吃剩的饭菜。也比喻别人施舍的东西。
好生之德,hào shēng zhī dé,好生爱惜生灵。指有爱惜生灵，不事杀戮的品德。
不贪为宝,bù tān wé bǎo,表示以不贪为可贵、崇高，也表示廉洁奉公。
喘息未定,chuǎn xī wèi dìng,急促的呼吸还没有平稳下来。指还没有休息、恢复的时间。喘息呼吸急促。
一命归西,yī mìng guī xī,指死亡。
不服水土,bù fú shuǐ tǔ,不能适应移居地方的气候和饮食习惯。
博采众议,bó cǎi zhòng yì,广泛采纳群众的建议。
乐业安居,lè yè ān jū,愉快地从事自己的职业，过着安定的生活。形容生活、生产、思想状况安定正常。
